image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.82025,bus,van,False
drive_022,2,3,0.686863,car,car,True
drive_022,3,1,0.822004,car,car,True
drive_022,4,4,0.688591,van,car,False
drive_022,5,5,0.692472,truck,bus,False
drive_033,1,2,0.632692,truck,bus,False
drive_033,2,1,0.876403,bus,van,False
drive_033,3,12,0.599895,bus,van,False
drive_033,4,11,0.845411,car,car,True
drive_033,5,7,0.668895,car,car,True
drive_033,6,3,0.599947,car,car,True
drive_033,7,4,0.579892,car,car,True
drive_033,8,9,0.73585,car,car,True
drive_033,11,5,0.737924,car,car,True
drive_033,15,8,0.630145,car,car,True
drive_033,16,10,0.657577,car,car,True
drive_033,23,6,0.703414,car,car,True
drive_038,1,9,0.793988,truck,bus,False
drive_038,4,15,0.806295,bus,truck,False
drive_038,10,4,0.772272,car,car,True
drive_038,11,1,0.630686,car,car,True
drive_038,12,2,0.777118,car,car,True
drive_038,13,3,0.753394,car,car,True
drive_038,14,17,0.727373,car,car,True
drive_038,15,16,0.655769,car,car,True
drive_038,16,14,0.721324,car,car,True
drive_038,17,13,0.771252,car,car,True
drive_038,18,10,0.76774,car,car,True
drive_038,19,8,0.727393,car,car,True
drive_038,20,11,0.8598,car,car,True
drive_038,21,7,0.802891,car,car,True
drive_038,22,12,0.747317,car,car,True
drive_038,23,6,0.816355,car,car,True
drive_038,40,5,0.883608,truck,bus,False
drive_008,1,11,0.707843,car,car,True
drive_008,2,9,0.738429,bus,van,False
drive_008,3,12,0.410361,van,truck,False
drive_008,5,4,0.704339,car,car,True
drive_008,6,6,0.636601,car,car,True
drive_008,7,2,0.605859,car,car,True
drive_008,8,16,0.491146,car,car,True
drive_008,9,3,0.742182,van,truck,False
drive_008,10,5,0.634122,van,truck,False
drive_008,11,15,0.188887,car,car,True
drive_008,12,14,0.616766,car,car,True
drive_008,13,1,0.688285,truck,bus,False
drive_008,16,13,0.623946,car,car,True
drive_008,17,7,0.726333,car,car,True
